"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 17:39:43,FALSE,NA,"1462838217166577671",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","biarlakhi",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 17:36:18,FALSE,NA,"1462837353823629319",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akuIelah",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 16:58:31,FALSE,NA,"1462827847790182408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pratama42452",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 16:21:34,FALSE,NA,"1462818549697630215",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","piperbackk",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 16:05:05,FALSE,NA,"1462814400704749569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","efun1999",3307,TRUE,FALSE,NA,NA
"RT @IwanKamah: PRESIDENT Joko Widodo acknowledged the fact that partnership between #ASEANChina dating back 30 years had yielded several co…",FALSE,0,NA,2021-11-22 14:45:06,FALSE,NA,"1462794272415961095",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gonkcil",1,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 14:41:27,FALSE,NA,"1462793353364316160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kurvaengel",3307,TRUE,FALSE,NA,NA
"RT @IwanKamah: PRESIDENT Joko Widodo of Indonesia called to empower the #ASEANChina partnership in order to transform the region into econo…",FALSE,0,NA,2021-11-22 14:22:15,FALSE,NA,"1462788522251743237",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gonkcil",1,TRUE,FALSE,NA,NA
"PRESIDENT Joko Widodo of Indonesia called to empower the #ASEANChina partnership in order to transform the region i… https://t.co/P0rLNVozaz",FALSE,1,NA,2021-11-22 14:07:22,TRUE,NA,"1462784776146849794",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IwanKamah",1,FALSE,FALSE,NA,NA
"INDONESIAN President Joko Widodo emphasized that strong relationship between the ASEAN and China requires hard work… https://t.co/Qw4D4uLgsn",FALSE,2,NA,2021-11-22 14:04:41,TRUE,NA,"1462784101279166467",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IwanKamah",0,FALSE,FALSE,NA,NA
