Datetime,Username,Text
2021-11-29 14:10:05+00:00,before__ten,"Mandalika sekarang jadi destinasi touring baru yang lagi hits. Biasanya yang sering denger cuma Lomboknya aja, atau ke Lampung yuk, atau 0km Sabang yuk, Banyuwangi, Bali, Lintas Sumatera"
2021-11-29 14:10:02+00:00,jo_duakali,@kopidingin_ Itu copet anjir di Mandalika. Internasional mereka
2021-11-29 14:08:47+00:00,hendriprabowo,"@1trenggalek Semoga acara nanti berlangsung khidmat, lancar, &amp; menjadi manfaat.
Aamiin.🙏"
2021-11-29 14:07:01+00:00,bukanfaiss,@Utom0_0 Neng mandalika. Gawe gawang dewe2 soko sandal 🤣
2021-11-29 14:04:53+00:00,hendriprabowo,@pengarang_sajak Sepakat dah.🙏
2021-11-29 14:01:01+00:00,atr_bpngrobogan,"#repost @kantahkabblora
Reposted from @kementerian.atrbpn Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.
Yuk kapan kita ke Mandalika Sob!
#ATRBPNKiniLebihBaik
#ATRBPNMajudanModern
#MelayaniProfesionalTerpercaya"
2021-11-29 13:40:58+00:00,jpnncom,"Menteri Sandiaga Uno memaparkan data pergerakan ekonomi selama WSBK Mandalika 2021; serap 1.475 tenaga kerja, okupansi hotel naik 95 persen #sirkuitmandalika https://t.co/2CpoLAWcVt"
2021-11-29 13:40:37+00:00,bagoesz,@KompasTV Saya sebagai rakyat Indonesia udah bangga kok dengan sirkuit Internasional Mandalika dan udah gak sabar menunggu ajang balapan moto GP 2022 di Mandalika. Gak berharap banyak dengan Formula E.
2021-11-29 13:36:07+00:00,kompascom,Video yang menyebut selebrasi pembalap menceburkan diri ke danau di Sirkuit Mandalika adalah hoaks atau tidak benar. https://t.co/gqx4RBj00f
2021-11-29 13:28:58+00:00,firman__nurhuda,"Anggaran tersebut menurut saya gak bakal diloloskan Oleh DPRD , Anggaran Sumur Resapan Gak hampir 3,4 T aja pada di protes.

Apalagi Sumur Resapan Ini Melebihi Sirkuit Mandalika dan Formula E , Emang Oposisi pada setuju...?

Cc: @GunRomli @Mukidioon2
https://t.co/vxc9AEqsbE."
